stock_weight,bond_weight,t_bill_weight,objective
0.1,0.65,0.25,-0.042312549533596804
0.1,0.7,0.2,-0.04223334936427545
0.1,0.75,0.15,-0.04215579159410872
0.1,0.8,0.1,-0.04207988335969678
0.1,0.85,0.05,-0.04200565154280787
0.1,0.9,0.0,-0.04193304732756018
0.15,0.0,0.85,-0.04282052405419495
0.15,0.05,0.8,-0.04272069719787096
0.15,0.1,0.75,-0.04262242045630287
0.15,0.15,0.7,-0.04252570939092493
0.15,0.2,0.65,-0.042430570408418224
0.15,0.25,0.6,-0.042337015008727684
0.15,0.3,0.55,-0.04224512127868046
0.15,0.35,0.5,-0.042154860752904894
0.15,0.4,0.45,-0.04206650362594522
0.15,0.45,0.4,-0.04197995909174334
0.15,0.5,0.35,-0.04189528074573601
0.15,0.55,0.3,-0.041812346932404744
0.15,0.6,0.25,-0.041731121624754716
0.15,0.65,0.2,-0.041651517151872895
0.15,0.7,0.15,-0.041573574402798685
0.15,0.75,0.1,-0.041497316059397917
0.15,0.8,0.05,-0.04142276105312688
0.15,0.85,0.0,-0.041349913928440785
0.2,0.0,0.8,-0.042165688737315396
0.2,0.05,0.75,-0.042066626126886726
0.2,0.1,0.7,-0.0419691512664184
0.2,0.15,0.65,-0.04187328592369211
0.2,0.2,0.6,-0.04177905492800241
0.2,0.25,0.55,-0.04168652035307792
0.2,0.3,0.5,-0.041595774216612334
0.2,0.35,0.45,-0.041506788765267
0.2,0.4,0.4,-0.041419534207602235
0.2,0.45,0.35,-0.041334007756615755
0.2,0.5,0.3,-0.04125026680213456
0.2,0.55,0.25,-0.041168381384538266
0.2,0.6,0.2,-0.04108828372780361
0.2,0.65,0.15,-0.04100987376947187
0.2,0.7,0.1,-0.04093329454893284
0.2,0.75,0.05,-0.04085838444420262
0.2,0.8,0.0,-0.04078514219802071
0.25,0.0,0.75,-0.04152963534574555
0.25,0.05,0.7,-0.04143142979536642
0.25,0.1,0.65,-0.041334955764140244
0.25,0.15,0.6,-0.04124021237634328
0.25,0.2,0.55,-0.04114721296186917
0.25,0.25,0.5,-0.04105584539021789
0.25,0.3,0.45,-0.04096619474514426
0.25,0.35,0.4,-0.040878230776778504
0.25,0.4,0.35,-0.04079198709482684
0.25,0.45,0.3,-0.04070750452473468
0.25,0.5,0.25,-0.04062478476824315
0.25,0.55,0.2,-0.040543876711101545
0.25,0.6,0.15,-0.04046475196440818
0.25,0.65,0.1,-0.04038742520957801
0.25,0.7,0.05,-0.04031213055672619
0.25,0.75,0.0,-0.040238660208823517
0.3,0.0,0.7,-0.040913064753801784
0.3,0.05,0.65,-0.04081576866849999
0.3,0.1,0.6,-0.04072015589562279
0.3,0.15,0.55,-0.04062633408574247
0.3,0.2,0.5,-0.0405342343785744
0.3,0.25,0.45,-0.040443896345502994
0.3,0.3,0.4,-0.04035528281174431
0.3,0.35,0.35,-0.04026835823685794
0.3,0.4,0.3,-0.040183146916179906
0.3,0.45,0.25,-0.04009967589077728
0.3,0.5,0.2,-0.0400181235113381
0.3,0.55,0.15,-0.0399384907637683
0.3,0.6,0.1,-0.039860737908850676
0.3,0.65,0.05,-0.03978499813076078
0.3,0.7,0.0,-0.039711078328693375
0.35,0.0,0.65,-0.040315625084470195
0.35,0.05,0.6,-0.040219165953300884
0.35,0.1,0.55,-0.04012433582912551
0.35,0.15,0.5,-0.04003122388652442
0.35,0.2,0.45,-0.03993993617209209
0.35,0.25,0.4,-0.03985047329809781
0.35,0.3,0.35,-0.03976287549626843
0.35,0.35,0.3,-0.039677161275661156
0.35,0.4,0.25,-0.039593268968406856
0.35,0.45,0.2,-0.03951132832680576
0.35,0.5,0.15,-0.03943134605268804
0.35,0.55,0.1,-0.03935325997631563
0.35,0.6,0.05,-0.03927696063447146
0.35,0.65,0.0,-0.039202622083919086
0.4,0.0,0.6,-0.039737233187433954
0.4,0.05,0.55,-0.03964163548487205
0.4,0.1,0.5,-0.039547766118668976
0.4,0.15,0.45,-0.03945569550585477
0.4,0.2,0.4,-0.03936545693446767
0.4,0.25,0.35,-0.03927710401553481
0.4,0.3,0.3,-0.0391906657230405
0.4,0.35,0.25,-0.03910615983389098
0.4,0.4,0.2,-0.03902364913582335
0.4,0.45,0.15,-0.03894319670381564
0.4,0.5,0.1,-0.03886463987101384
0.4,0.55,0.05,-0.03878798927759478
0.4,0.6,0.0,-0.03871330404421966
0.45,0.0,0.55,-0.03917779798200997
0.45,0.05,0.5,-0.039083441546141504
0.45,0.1,0.45,-0.03899088885788245
0.45,0.15,0.4,-0.038900260665343925
0.45,0.2,0.35,-0.038811467856687994
0.45,0.25,0.3,-0.0387245460207206
0.45,0.3,0.25,-0.038639511604655355
0.45,0.35,0.2,-0.038556400044099624
0.45,0.4,0.15,-0.03847527352666868
0.45,0.45,0.1,-0.03839604872709312
0.45,0.5,0.05,-0.03831873617187275
0.45,0.55,0.0,-0.038243498376519976
0.5,0.0,0.5,-0.03863902842913852
0.5,0.05,0.45,-0.038546043160197725
0.5,0.1,0.4,-0.03845480400683057
0.5,0.15,0.35,-0.03836544742342056
0.5,0.2,0.3,-0.03827799899920727
0.5,0.25,0.25,-0.03819261412483379
0.5,0.3,0.2,-0.03810917876110455
0.5,0.35,0.15,-0.038027644483981646
0.5,0.4,0.1,-0.037948046979115094
0.5,0.45,0.05,-0.03787037657238601
0.5,0.5,0.0,-0.03779468653461156
0.55,0.0,0.45,-0.03812013811699558
0.55,0.05,0.4,-0.03802848252347177
0.55,0.1,0.35,-0.03793876956359424
0.55,0.15,0.3,-0.03785094550946761
0.55,0.2,0.25,-0.037765053098239514
0.55,0.25,0.2,-0.037681201267410466
0.55,0.3,0.15,-0.03759940006819538
0.55,0.35,0.1,-0.0375195280006786
0.55,0.4,0.05,-0.037441567039183124
0.55,0.45,0.0,-0.03736561244971031
0.6,0.0,0.4,-0.037620349246289486
0.6,0.05,0.35,-0.03753012855603783
0.6,0.1,0.3,-0.037441942180442375
0.6,0.15,0.25,-0.03735572835051296
0.6,0.2,0.2,-0.03727150051120111
0.6,0.25,0.15,-0.03718920362095009
0.6,0.3,0.1,-0.03710891308405263
0.6,0.35,0.05,-0.037030683617031865
0.6,0.4,0.0,-0.036954508795084884
0.65,0.0,0.35,-0.03713987426112976
0.65,0.05,0.3,-0.03705129369101422
0.65,0.1,0.25,-0.036964671901129904
0.65,0.15,0.2,-0.03687998974448846
0.65,0.2,0.15,-0.03679738347503618
0.65,0.25,0.1,-0.036716825839483026
0.65,0.3,0.05,-0.03663835266325391
0.65,0.35,0.0,-0.036561930242423615
0.7,0.0,0.3,-0.03667919032615784
0.7,0.05,0.25,-0.03659209175801454
0.7,0.1,0.2,-0.03650695639601959
