evaluation,pass,horizon,candidates_checked,current_objective,best_delta_objective,best_replacement_objective,accepted,objective_after,replacement_distance
24,1,25,152,-0.0028437502416733883,7.628569023966983e-07,-0.0028429873847709915,False,-0.0028437502416733883,0.03984219283798828
25,1,26,152,-0.0028437502416733883,5.941407513331172e-07,-0.0028431561009220553,False,-0.0028437502416733883,0.04118170464085851
26,1,27,152,-0.0028437502416733883,6.003065203527211e-07,-0.0028431499351530354,False,-0.0028437502416733883,0.041803822380313695
27,1,28,152,-0.0028437502416733883,4.808987812551444e-07,-0.002843269342892133,False,-0.0028437502416733883,0.04062984979841335
28,1,29,150,-0.0028437502416733883,1.1350817996112068e-07,-0.002843636733493427,False,-0.0028437502416733883,0.008413225991761008
29,1,30,151,-0.0028437502416733883,1.0833604725118962e-09,-0.0028437491583129157,False,-0.0028437502416733883,0.004241755474142871
30,1,31,150,-0.0028437502416733883,2.121292311009493e-09,-0.002843748120381077,False,-0.0028437502416733883,0.00019606226727921777
31,1,32,151,-0.0028437502416733883,3.329463416430062e-08,-0.002843716947039224,False,-0.0028437502416733883,0.003934269852441812
32,1,33,150,-0.0028437502416733883,7.401184290278112e-08,-0.0028436762298304856,False,-0.0028437502416733883,0.009330207318956955
33,1,34,152,-0.0028437502416733883,1.5431556960855684e-07,-0.0028435959261037796,False,-0.0028437502416733883,0.018378750163089933
34,1,35,150,-0.0028437502416733883,1.91045863881939e-07,-0.0028435591958095065,False,-0.0028437502416733883,0.02897672317765333
35,1,36,152,-0.0028437502416733883,7.442349188609143e-07,-0.0028430060067545274,False,-0.0028437502416733883,0.043156402288394215
36,1,37,151,-0.0028437502416733883,9.074048049614869e-07,-0.002842842836868427,False,-0.0028437502416733883,0.06165251206651932
37,1,38,152,-0.0028437502416733883,1.7669372044553516e-06,-0.002841983304468933,True,-0.002841983304468933,0.08244358130445133
38,1,39,150,-0.002841983304468933,2.0370853754917568e-06,-0.002839946219093441,True,-0.002839946219093441,0.10424921578119438
39,1,40,152,-0.002839946219093441,3.5154678852315076e-06,-0.00283643075120821,True,-0.00283643075120821,0.1256157106750267
40,1,41,151,-0.00283643075120821,3.0868624843038984e-06,-0.002833343888723906,True,-0.002833343888723906,0.11715325641620732
41,1,42,151,-0.002833343888723906,3.741327503527167e-06,-0.002829602561220379,True,-0.002829602561220379,0.16282588563310638
42,1,43,152,-0.002829602561220379,3.95606492198948e-06,-0.0028256464962983893,True,-0.0028256464962983893,0.14698401128695457
43,1,44,154,-0.0028256464962983893,3.7045274438333305e-06,-0.002821941968854556,True,-0.002821941968854556,0.15212907059418943
44,1,45,161,-0.002821941968854556,3.1688167482291087e-06,-0.002818773152106327,True,-0.002818773152106327,0.1512040314367877
45,1,46,161,-0.002818773152106327,1.947236828581042e-06,-0.002816825915277746,True,-0.002816825915277746,0.12042811433434097
46,1,47,160,-0.002816825915277746,1.980580987734487e-06,-0.0028148453342900118,True,-0.0028148453342900118,0.14735152233672802
47,1,48,162,-0.0028148453342900118,1.6537586412519734e-06,-0.0028131915756487596,True,-0.0028131915756487596,0.1508235937790249
48,1,49,157,-0.0028131915756487596,1.1706385573592022e-06,-0.0028120209370914003,True,-0.0028120209370914003,0.15900188501682241
49,1,50,157,-0.0028120209370914003,2.827685810565667e-07,-0.0028117381685103435,False,-0.0028120209370914003,0.11259690110364586
50,2,2,201,-0.0028120209370913916,1.1379233223936063e-05,-0.0028006417038674556,True,-0.0028006417038674556,0.07483314773547886
51,2,3,283,-0.0028006417038674556,1.2189685025254527e-17,-0.0028006417038674435,False,-0.0028006417038674556,0.0
52,2,4,283,-0.0028006417038674556,9.117056068430607e-18,-0.0028006417038674465,False,-0.0028006417038674556,0.0
53,2,5,280,-0.0028006417038674556,2.3486486638983876e-06,-0.0027982930552035573,True,-0.0027982930552035573,0.08485281374238571
54,2,6,185,-0.0027982930552035573,2.4519368402345605e-07,-0.002798047861519534,False,-0.0027982930552035573,0.028284271247461874
55,2,7,280,-0.0027982930552035573,2.5048722202514327e-07,-0.002798042567981532,False,-0.0027982930552035573,0.028284271247461926
56,2,8,192,-0.0027982930552035573,-6.005592066757391e-08,-0.002798353111124225,False,-0.0027982930552035573,0.011783058288205112
57,2,9,234,-0.0027982930552035573,1.64385379884161e-07,-0.002798128669823673,False,-0.0027982930552035573,0.028284271247461877
58,2,10,152,-0.0027982930552035573,1.0707726874072652e-06,-0.00279722228251615,True,-0.00279722228251615,0.02480538343480408
59,2,11,152,-0.00279722228251615,-2.708385771402536e-07,-0.00279749312109329,False,-0.00279722228251615,0.03610326887002653
60,2,12,185,-0.00279722228251615,2.1174468428641903e-18,-0.002797222282516148,False,-0.00279722228251615,0.0
61,2,13,152,-0.00279722228251615,9.528428481267763e-07,-0.0027962694396680234,False,-0.00279722228251615,0.06383210586694296
62,2,14,151,-0.00279722228251615,8.181765998310059e-07,-0.002796404105916319,False,-0.00279722228251615,0.019942611535148175
63,2,15,152,-0.00279722228251615,1.3661542060119002e-07,-0.002797085667095549,False,-0.00279722228251615,0.044250313042781826
64,2,16,151,-0.00279722228251615,-9.210998184113437e-08,-0.002797314392497991,False,-0.00279722228251615,0.02307819224271099
65,2,17,151,-0.00279722228251615,-7.210629689880649e-09,-0.0027972294931458397,False,-0.00279722228251615,0.004761803784788853
66,2,18,150,-0.00279722228251615,5.814457761871229e-07,-0.002796640836739963,False,-0.00279722228251615,0.027872619692077032
67,2,19,152,-0.00279722228251615,6.965414143225214e-07,-0.0027965257411018277,False,-0.00279722228251615,0.018717855822860233
68,2,20,151,-0.00279722228251615,9.51779031166675e-07,-0.0027962705034849833,False,-0.00279722228251615,0.03505740201283235
69,2,21,151,-0.00279722228251615,1.1100542435509573e-06,-0.002796112228272599,True,-0.002796112228272599,0.04870101578519374
70,2,22,150,-0.002796112228272599,-1.734723475976807e-20,-0.002796112228272599,False,-0.002796112228272599,0.0
71,2,23,150,-0.002796112228272599,6.938893903907229e-20,-0.002796112228272599,False,-0.002796112228272599,0.0
72,2,24,150,-0.002796112228272599,-3.469446951953614e-20,-0.002796112228272599,False,-0.002796112228272599,0.0
73,2,25,152,-0.002796112228272599,6.369273874413765e-07,-0.002795475300885158,False,-0.002796112228272599,0.03984219283798828
74,2,26,152,-0.002796112228272599,7.941035317046361e-07,-0.0027953181247408945,False,-0.002796112228272599,0.04118170464085851
75,2,27,152,-0.002796112228272599,4.886495064869087e-07,-0.002795623578766112,False,-0.002796112228272599,0.041803822380313695
76,2,28,152,-0.002796112228272599,3.325667661750048e-07,-0.0027957796615064243,False,-0.002796112228272599,0.04062984979841335
77,2,29,150,-0.002796112228272599,3.8683176608149406e-08,-0.002796073545095991,False,-0.002796112228272599,0.008413225991761008
78,2,30,151,-0.002796112228272599,-2.433929533515733e-08,-0.0027961365675679343,False,-0.002796112228272599,0.004241755474142871
79,2,31,150,-0.002796112228272599,3.705509466628287e-09,-0.0027961085227631325,False,-0.002796112228272599,0.00019606226727921777
80,2,32,151,-0.002796112228272599,5.525157862038693e-08,-0.0027960569766939786,False,-0.002796112228272599,0.003934269852441812
81,2,33,150,-0.002796112228272599,2.0973640526968789e-07,-0.0027959024918673293,False,-0.002796112228272599,0.03761447856641884
82,2,34,152,-0.002796112228272599,2.757694829850707e-07,-0.002795836458789614,False,-0.002796112228272599,0.018378750163089933
83,2,35,150,-0.002796112228272599,4.6607104132082025e-07,-0.002795646157231278,False,-0.002796112228272599,0.02897672317765333
84,2,36,152,-0.002796112228272599,1.2047638356232903e-06,-0.002794907464436976,True,-0.002794907464436976,0.0714406735358561
85,2,37,151,-0.002794907464436976,1.0733156273128736e-06,-0.002793834148809663,True,-0.002793834148809663,0.06165251206651932
86,2,38,150,-0.002793834148809663,0.0,-0.002793834148809663,False,-0.002793834148809663,0.0
87,2,39,150,-0.002793834148809663,-2.0816681711721684e-19,-0.002793834148809663,False,-0.002793834148809663,0.0
88,2,40,150,-0.002793834148809663,-2.7755575615628914e-19,-0.0027938341488096636,False,-0.002793834148809663,0.0
89,2,41,150,-0.002793834148809663,-1.3877787807814457e-19,-0.002793834148809663,False,-0.002793834148809663,0.0
90,2,42,150,-0.002793834148809663,6.938893903907229e-20,-0.002793834148809663,False,-0.002793834148809663,0.0
91,2,43,150,-0.002793834148809663,7.581627542933844e-08,-0.002793758332534234,False,-0.002793834148809663,0.02828427124746185
92,2,44,150,-0.002793834148809663,4.163336342344337e-19,-0.0027938341488096628,False,-0.002793834148809663,0.0
93,2,45,150,-0.002793834148809663,6.938893903907229e-19,-0.0027938341488096623,False,-0.002793834148809663,0.0
94,2,46,150,-0.002793834148809663,5.05708291893836e-08,-0.002793783577980474,False,-0.002793834148809663,0.028284271247461926
95,2,47,150,-0.002793834148809663,2.7755575615628914e-19,-0.0027938341488096628,False,-0.002793834148809663,0.0
96,2,48,150,-0.002793834148809663,6.938893903907229e-19,-0.0027938341488096623,False,-0.002793834148809663,0.0
97,2,49,150,-0.002793834148809663,6.938893903907229e-19,-0.0027938341488096623,False,-0.002793834148809663,0.0
98,2,50,157,-0.002793834148809663,3.3020970078047327e-07,-0.002793503939108883,False,-0.002793834148809663,0.14084897982887853
99,3,2,150,-0.0027938341488096606,2.176102180395656e-17,-0.002793834148809639,False,-0.0027938341488096606,0.0
100,3,3,283,-0.0027938341488096606,1.0549400361514663e-07,-0.0027937286548060454,False,-0.0027938341488096606,0.028284271247461926
101,3,4,283,-0.0027938341488096606,8.297399226031566e-18,-0.0027938341488096523,False,-0.0027938341488096606,0.0
102,3,5,283,-0.0027938341488096606,-1.1817803680092e-19,-0.0027938341488096606,False,-0.0027938341488096606,0.0
103,3,6,185,-0.0027938341488096606,-2.78314697677029e-18,-0.002793834148809663,False,-0.0027938341488096606,0.0
104,3,7,280,-0.0027938341488096606,5.933358126630631e-08,-0.002793774815228394,False,-0.0027938341488096606,0.028284271247461926
105,3,8,192,-0.0027938341488096606,2.3073835604743576e-07,-0.0027936034104536133,False,-0.0027938341488096606,0.011783058288205112
106,3,9,234,-0.0027938341488096606,3.436920886779049e-19,-0.00279383414880966,False,-0.0027938341488096606,0.0
107,3,10,168,-0.0027938341488096606,2.4059970261189202e-08,-0.0027938100888393992,False,-0.0027938341488096606,0.028284271247461915
108,3,11,152,-0.0027938341488096606,-2.0518287318108618e-07,-0.0027940393316828417,False,-0.0027938341488096606,0.03610326887002653
109,3,12,185,-0.0027938341488096606,1.4886095828225976e-18,-0.0027938341488096593,False,-0.0027938341488096606,0.0
110,3,13,152,-0.0027938341488096606,1.088472254222474e-06,-0.002792745676555438,True,-0.002792745676555438,0.06383210586694296
111,3,14,151,-0.002792745676555438,7.729616321500664e-07,-0.002791972714923288,False,-0.002792745676555438,0.019942611535148175
112,3,15,152,-0.002792745676555438,-1.2280224113389885e-08,-0.0027927579567795513,False,-0.002792745676555438,0.044250313042781826
113,3,16,151,-0.002792745676555438,-1.0234961397927113e-07,-0.0027928480261694174,False,-0.002792745676555438,0.005206079004750935
114,3,17,151,-0.002792745676555438,5.371519506654817e-10,-0.0027927451394034876,False,-0.002792745676555438,0.004761803784788853
115,3,18,150,-0.002792745676555438,4.752387375005999e-07,-0.0027922704378179376,False,-0.002792745676555438,0.027872619692077032
116,3,19,152,-0.002792745676555438,8.430251778468337e-07,-0.0027919026513775914,False,-0.002792745676555438,0.018717855822860233
117,3,20,151,-0.002792745676555438,8.622636270530103e-07,-0.0027918834129283853,False,-0.002792745676555438,0.03505740201283235
118,3,21,150,-0.002792745676555438,-6.461844948013606e-19,-0.0027927456765554385,False,-0.002792745676555438,0.0
119,3,22,150,-0.002792745676555438,-8.847089727481716e-19,-0.002792745676555439,False,-0.002792745676555438,0.0
120,3,23,150,-0.002792745676555438,-5.898059818321145e-19,-0.0027927456765554385,False,-0.002792745676555438,0.0
121,3,24,150,-0.002792745676555438,-6.591949208711867e-19,-0.002792745676555439,False,-0.002792745676555438,0.0
122,3,25,152,-0.002792745676555438,5.912720925192391e-07,-0.0027921544044629187,False,-0.002792745676555438,0.03984219283798828
123,3,26,152,-0.002792745676555438,6.526174041561299e-07,-0.002792093059151282,False,-0.002792745676555438,0.04118170464085851
124,3,27,152,-0.002792745676555438,4.989753592371873e-07,-0.002792246701196201,False,-0.002792745676555438,0.041803822380313695
125,3,28,152,-0.002792745676555438,4.7658411100784393e-07,-0.00279226909244443,False,-0.002792745676555438,0.04062984979841335
126,3,29,150,-0.002792745676555438,7.820364487268888e-08,-0.0027926674729105653,False,-0.002792745676555438,0.008413225991761008
127,3,30,151,-0.002792745676555438,-2.3542292461702086e-08,-0.0027927692188479,False,-0.002792745676555438,0.004241755474142871
128,3,31,150,-0.002792745676555438,4.510369613318355e-09,-0.0027927411661858247,False,-0.002792745676555438,0.00019606226727921777
129,3,32,151,-0.002792745676555438,9.985446403890097e-08,-0.002792645822091399,False,-0.002792745676555438,0.0322185410999037
130,3,33,150,-0.002792745676555438,2.3372748600758441e-07,-0.0027925119490694304,False,-0.002792745676555438,0.03761447856641884
131,3,34,152,-0.002792745676555438,5.317928441260153e-07,-0.002792213883711312,False,-0.002792745676555438,0.04666302141055182
