iteration,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,smooth,smoothing_strength,smoothing_bandwidth,start
15,-0.0018156834699597226,0.7392804587405182,0.0,-0.0018156834699597226,-0.0037785299599194587,-0.0018156834699597226,True,0.2,10.0,linear_to_stocks
0,-0.02792295832437429,0.0,0.0,-0.02792295832437429,-0.02988580481433407,-0.02792295832437429,True,0.2,10.0,constant_anchor
1,-0.025498932228123734,0.03209550947325722,0.0,-0.025498932228123734,-0.0274617787180835,-0.025498932228123734,True,0.2,10.0,constant_anchor
2,-0.02322721362163965,0.06398994730945222,0.0,-0.02322721362163965,-0.025190060111599393,-0.02322721362163965,True,0.2,10.0,constant_anchor
3,-0.021090902679484717,0.09600749656781006,0.0,-0.021090902679484717,-0.02305374916944445,-0.021090902679484717,True,0.2,10.0,constant_anchor
4,-0.019081700203986262,0.12832307331908338,0.0,-0.019081700203986262,-0.02104454669394603,-0.019081700203986262,True,0.2,10.0,constant_anchor
5,-0.017212143089543927,0.16020553647415245,0.0,-0.017212143089543927,-0.019174989579503688,-0.017212143089543927,True,0.2,10.0,constant_anchor
6,-0.015473258740948863,0.19196306118852927,0.0,-0.015473258740948863,-0.017436105230908595,-0.015473258740948863,True,0.2,10.0,constant_anchor
7,-0.013888224857656355,0.22405875139929426,0.0,-0.013888224857656355,-0.0158510713476161,-0.013888224857656355,True,0.2,10.0,constant_anchor
8,-0.012445091857405886,0.2549555530878666,0.0,-0.012445091857405886,-0.014407938347365598,-0.012445091857405886,True,0.2,10.0,constant_anchor
9,-0.011153939974262466,0.2842428906266021,0.0,-0.011153939974262466,-0.013116786464222183,-0.011153939974262466,True,0.2,10.0,constant_anchor
10,-0.01000188510858421,0.31036733402801625,0.0,-0.01000188510858421,-0.011964731598543952,-0.01000188510858421,True,0.2,10.0,constant_anchor
11,-0.008969061021350658,0.33586986737021635,0.0,-0.008969061021350658,-0.010931907511310394,-0.008969061021350658,True,0.2,10.0,constant_anchor
12,-0.008052108669875274,0.36166850565883135,0.0,-0.008052108669875274,-0.01001495515983505,-0.008052108669875274,True,0.2,10.0,constant_anchor
13,-0.007241427924557347,0.3878419489311876,0.0,-0.007241427924557347,-0.009204274414517122,-0.007241427924557347,True,0.2,10.0,constant_anchor
14,-0.006528046225516993,0.4139901151454224,0.0,-0.006528046225516993,-0.00849089271547673,-0.006528046225516993,True,0.2,10.0,constant_anchor
15,-0.006180415077639583,0.42798242892135185,0.0,-0.006180415077639583,-0.008143261567599328,-0.006180415077639583,True,0.2,10.0,constant_anchor
0,-0.008752711074143398,1.7600327752693394,0.0,-0.008752711074143398,-0.010715557564103115,-0.008752711074143398,True,0.2,10.0,greedy
1,-0.007480966667571963,1.564227398185962,0.0,-0.007480966667571963,-0.009443813157531707,-0.007480966667571963,True,0.2,10.0,greedy
2,-0.006349119227058145,1.327624495876056,0.0,-0.006349119227058145,-0.008311965717017901,-0.006349119227058145,True,0.2,10.0,greedy
3,-0.0054108077571707195,1.093390643690309,0.0,-0.0054108077571707195,-0.00737365424713045,-0.0054108077571707195,True,0.2,10.0,greedy
4,-0.004648108121917374,0.9532121113571939,0.0,-0.004648108121917374,-0.006610954611877107,-0.004648108121917374,True,0.2,10.0,greedy
5,-0.00400180978695065,0.9247529448267746,0.0,-0.00400180978695065,-0.005964656276910385,-0.00400180978695065,True,0.2,10.0,greedy
6,-0.0034593732732807587,0.8863281936605851,0.0,-0.0034593732732807587,-0.0054222197632404915,-0.0034593732732807587,True,0.2,10.0,greedy
7,-0.0030057512511843126,0.8901465777425703,0.0,-0.0030057512511843126,-0.004968597741144051,-0.0030057512511843126,True,0.2,10.0,greedy
8,-0.0026208205636868574,0.892203691840761,0.0,-0.0026208205636868574,-0.0045836670536466,-0.0026208205636868574,True,0.2,10.0,greedy
9,-0.002295126158823888,0.8986196176118401,0.0,-0.002295126158823888,-0.004257972648783614,-0.002295126158823888,True,0.2,10.0,greedy
10,-0.0020226698169556567,0.8939661244048859,0.0,-0.0020226698169556567,-0.0039855163069154095,-0.0020226698169556567,True,0.2,10.0,greedy
