global_step,iteration,iteration_step,raw_objective_before_step,curvature_penalty_value_before_step,curvature_penalty_term_before_step,regularized_objective_before_step,objective_before_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,control_point_count,curvature_penalty_weight,curvature_huber_delta,smooth,smoothing_strength,smoothing_bandwidth
11,2,1,-0.008293050204704356,0.0497819128104493,4.97819128104493e-06,-0.008298028395985401,-0.008298028395985401,-0.007371249457390483,0.05706185806928046,5.706185806928047e-06,-0.007376955643197411,-0.00933409594735024,-0.007376955643197411,5,0.0001,0.0001,True,0.2,10.0
12,2,2,-0.007371249457390483,0.05706185806928046,5.706185806928047e-06,-0.007376955643197411,-0.007376955643197411,-0.006696433208525394,0.05624144304417449,5.62414430441745e-06,-0.006702057352829811,-0.008659279698485125,-0.006702057352829811,5,0.0001,0.0001,True,0.2,10.0
13,2,3,-0.006696433208525394,0.05624144304417449,5.62414430441745e-06,-0.006702057352829811,-0.006702057352829811,-0.0061927741546357025,0.06210732665807492,6.2107326658074925e-06,-0.00619898488730151,-0.008155620644595437,-0.00619898488730151,5,0.0001,0.0001,True,0.2,10.0
14,2,4,-0.0061927741546357025,0.06210732665807492,6.2107326658074925e-06,-0.00619898488730151,-0.00619898488730151,-0.005812273865328487,0.07211964227852997,7.211964227852997e-06,-0.00581948582955634,-0.007775120355288203,-0.00581948582955634,5,0.0001,0.0001,True,0.2,10.0
15,2,5,-0.005812273865328487,0.07211964227852997,7.211964227852997e-06,-0.00581948582955634,-0.00581948582955634,-0.0055067692306851905,0.0831589579718976,8.31589579718976e-06,-0.00551508512648238,-0.007469615720644905,-0.00551508512648238,5,0.0001,0.0001,True,0.2,10.0
16,2,6,-0.0055067692306851905,0.0831589579718976,8.31589579718976e-06,-0.00551508512648238,-0.00551508512648238,-0.005261714996119268,0.08996099625325993,8.996099625325992e-06,-0.005270711095744594,-0.007224561486078998,-0.005270711095744594,5,0.0001,0.0001,True,0.2,10.0
17,2,7,-0.005261714996119268,0.08996099625325993,8.996099625325992e-06,-0.005270711095744594,-0.005270711095744594,-0.005062853544111499,0.09472761440013015,9.472761440013016e-06,-0.005072326305551512,-0.007025700034071205,-0.005072326305551512,5,0.0001,0.0001,True,0.2,10.0
18,2,8,-0.005062853544111499,0.09472761440013015,9.472761440013016e-06,-0.005072326305551512,-0.005072326305551512,-0.0048968328539739205,0.09877391378934716,9.877391378934717e-06,-0.004906710245352855,-0.0068596793439336876,-0.004906710245352855,5,0.0001,0.0001,True,0.2,10.0
19,2,9,-0.0048968328539739205,0.09877391378934716,9.877391378934717e-06,-0.004906710245352855,-0.004906710245352855,-0.004754816305763335,0.1025693430444415,1.0256934304444151e-05,-0.004765073240067779,-0.0067176627957230735,-0.004765073240067779,5,0.0001,0.0001,True,0.2,10.0
20,2,10,-0.004754816305763335,0.1025693430444415,1.0256934304444151e-05,-0.004765073240067779,-0.004765073240067779,-0.004656661932014327,0.10486818812368139,1.048681881236814e-05,-0.004667148750826695,-0.00661950842197407,-0.004667148750826695,5,0.0001,0.0001,True,0.2,10.0
21,3,1,-0.004656661932014327,0.10486818812368126,1.0486818812368126e-05,-0.004667148750826695,-0.004667148750826695,-0.0038900932901812526,0.15273783210116143,1.5273783210116144e-05,-0.003905367073391369,-0.005852939780141,-0.003905367073391369,9,0.0001,0.0001,True,0.2,10.0
