start,iteration,global_step,bisection_iteration,iteration_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,control_point_count,smooth,smoothing_strength,smoothing_bandwidth
random_00,11,11,2,1,-0.047266555783679776,0.0210230299406892,0.0,-0.047266555783679776,-0.04723606014697679,-0.047266555783679776,5,True,0.2,10.0
random_00,12,12,2,2,-0.0469930148368867,0.030267407217704517,0.0,-0.0469930148368867,-0.04696017805567788,-0.0469930148368867,5,True,0.2,10.0
random_00,13,13,2,3,-0.04668188757044534,0.043000223000112726,0.0,-0.04668188757044534,-0.04664726755853119,-0.04668188757044534,5,True,0.2,10.0
random_00,14,14,2,4,-0.046474720387343654,0.057396856769372694,0.0,-0.046474720387343654,-0.046438391283963265,-0.046474720387343654,5,True,0.2,10.0
random_00,15,15,2,5,-0.046367060720108995,0.07149062416231658,0.0,-0.046367060720108995,-0.04632887340013919,-0.046367060720108995,5,True,0.2,10.0
random_00,16,16,2,6,-0.04629849256661294,0.08386042773763568,0.0,-0.04629849256661294,-0.04625907163441099,-0.04629849256661294,5,True,0.2,10.0
random_00,17,17,2,7,-0.046185997190358534,0.09320936669835647,0.0,-0.046185997190358534,-0.04614557170970464,-0.046185997190358534,5,True,0.2,10.0
random_00,18,18,2,8,-0.04605480880266773,0.10000889077754754,0.0,-0.04605480880266773,-0.04601322959942819,-0.04605480880266773,5,True,0.2,10.0
random_00,19,19,2,9,-0.04603027297625962,0.10404482043244509,0.0,-0.04603027297625962,-0.045989891283070225,-0.04603027297625962,5,True,0.2,10.0
random_00,20,20,2,10,-0.046003546753982556,0.1038843075440782,0.0,-0.046003546753982556,-0.04596382204594554,-0.046003546753982556,5,True,0.2,10.0
random_00,21,21,3,1,-0.04570510332178703,0.11730349017769887,0.0,-0.04570510332178703,-0.04566839974472898,-0.04570510332178703,9,True,0.2,10.0
random_00,22,22,3,2,-0.04559103104680887,0.1607408216857832,0.0,-0.04559103104680887,-0.045550817059549914,-0.04559103104680887,9,True,0.2,10.0
random_00,23,23,3,3,-0.045435549116755854,0.18474728059436502,0.0,-0.045435549116755854,-0.04539587178457566,-0.045435549116755854,9,True,0.2,10.0
random_00,24,24,3,4,-0.0452536875623249,0.18942924915917578,0.0,-0.0452536875623249,-0.04521689909080036,-0.0452536875623249,9,True,0.2,10.0
random_00,25,25,3,5,-0.04508272072331038,0.19044786334618619,0.0,-0.04508272072331038,-0.04504529142093224,-0.04508272072331038,9,True,0.2,10.0
random_00,26,26,3,6,-0.04499574616654969,0.20187228325533882,0.0,-0.04499574616654969,-0.04495504178459739,-0.04499574616654969,9,True,0.2,10.0
random_00,27,27,3,7,-0.04491457903796624,0.21657768448213513,0.0,-0.04491457903796624,-0.04487293941934385,-0.04491457903796624,9,True,0.2,10.0
random_00,28,28,3,8,-0.04483748872978893,0.22635777470369078,0.0,-0.04483748872978893,-0.044796068542361046,-0.04483748872978893,9,True,0.2,10.0
random_00,29,29,3,9,-0.04476019809956055,0.23050301725270678,0.0,-0.04476019809956055,-0.04471991818635246,-0.04476019809956055,9,True,0.2,10.0
random_00,30,30,3,10,-0.04471462296174265,0.2302034410425757,0.0,-0.04471462296174265,-0.044675694661680226,-0.04471462296174265,9,True,0.2,10.0
random_00,31,31,4,1,-0.04434209542908223,0.3986082098657413,0.0,-0.04434209542908223,-0.04430170096399026,-0.04434209542908223,17,True,0.2,10.0
random_00,32,32,4,2,-0.044146289447703664,0.31125198387798325,0.0,-0.044146289447703664,-0.044109996648582374,-0.044146289447703664,17,True,0.2,10.0
random_00,33,33,4,3,-0.04418235483945409,0.28620344182484314,0.0,-0.04418235483945409,-0.04414422924805466,-0.04418235483945409,17,True,0.2,10.0
random_00,34,34,4,4,-0.0441428211339445,0.32126404709636724,0.0,-0.0441428211339445,-0.04410451763061727,-0.0441428211339445,17,True,0.2,10.0
random_00,35,35,4,5,-0.04404745677025959,0.3326112553255942,0.0,-0.04404745677025959,-0.04401031335709647,-0.04404745677025959,17,True,0.2,10.0
random_00,36,36,4,6,-0.043936740421706685,0.32747969086057155,0.0,-0.043936740421706685,-0.04389893954120159,-0.043936740421706685,17,True,0.2,10.0
random_00,37,37,4,7,-0.04389141434423485,0.3342397032846963,0.0,-0.04389141434423485,-0.043850169417116086,-0.04389141434423485,17,True,0.2,10.0
random_00,38,38,4,8,-0.04385939687267136,0.3567246374325813,0.0,-0.04385939687267136,-0.0438179201137935,-0.04385939687267136,17,True,0.2,10.0
random_00,39,39,4,9,-0.0438447407013357,0.3642674570903783,0.0,-0.0438447407013357,-0.043803330489536524,-0.0438447407013357,17,True,0.2,10.0
