experiment,changed,curvature_penalty,smooth,smoothing_strength,bisections,gradient_steps,learning_rate,early_stop,mean_start_validation_canonical,mean_final_validation_canonical,mean_start_train_canonical,mean_final_train_canonical,start_across_fold_path_distance,start_within_fold_path_distance,final_across_fold_path_distance,mean_final_curvature,horizon_50_weight_ratio,random_starts_for_similarity_anchor,seconds,validation_progress,similarity_progress,validation_weight,similarity_weight,combined_score_sum,combined_score_mean,validation_range_start,validation_range_end,distance_range_start,distance_range_end
gradient_steps_15,gradient steps = 20,0.00025,True,0.9,4,20,0.04,False,-0.01222152695204706,-0.010233350630287732,-0.009577571309556682,-0.0008911652691867587,0.23012442096300162,0.5114866678778742,0.4009597604614704,0.04487552449989725,1.0,4,57.1,0.9084431366873835,0.9614027530621244,1.0,2.0,2.8312486428116324,0.9437495476038774,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
gradient_steps_10,gradient steps = 10,0.00025,True,0.9,4,10,0.04,False,-0.01222152695204706,-0.01003052207486486,-0.009577571309556682,-0.0008626875699924062,0.23012442096300162,0.5114866678778742,0.40754669758126394,0.05427193521974842,1.0,4,29.0,1.0011201327271897,0.9041072073054834,1.0,2.0,2.809334547338157,0.936444849112719,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
learning_rate_006,learning rate = 0.06,0.00025,True,0.9,4,15,0.06,False,-0.01222152695204706,-0.010125177575566422,-0.009577571309556682,-0.0008384678567579281,0.23012442096300162,0.5114866678778742,0.4058499416784561,0.052158759156802334,1.0,4,36.7,0.9578698741756992,0.9188661997930607,1.0,2.0,2.795602273761821,0.9318674245872737,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
gradient_steps_30,gradient steps = 30,0.00025,True,0.9,4,30,0.04,False,-0.01222152695204706,-0.010322592783074323,-0.009577571309556682,-0.0009201909189009347,0.23012442096300162,0.5114866678778742,0.40118588621236856,0.04231488631996503,1.0,4,77.8,0.8676663603447072,0.9594358300337557,1.0,2.0,2.7865380204122188,0.9288460068040729,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
curvature_001,curvature = 0.001,0.001,True,0.9,4,15,0.04,False,-0.01222152695204706,-0.010332934440002777,-0.009577571309556682,-0.0008363961825659878,0.23012442096300162,0.5114866678778742,0.40230845027990086,0.03706615902127276,1.0,4,42.5,0.8629410212709993,0.9496713644367204,1.0,2.0,2.76228375014444,0.9207612500481467,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
learning_rate_003,learning rate = 0.03,0.00025,True,0.9,4,15,0.03,False,-0.01222152695204706,-0.010131522527061274,-0.009577571309556682,-0.0009391695138340357,0.23012442096300162,0.5114866678778742,0.4094879467343744,0.047439248810663984,1.0,4,36.4,0.9549707210296584,0.8872215246802686,1.0,2.0,2.7294137703901957,0.9098045901300652,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
smooth_false,smooth = false,0.00025,False,0.0,4,15,0.04,False,-0.01222152695204706,-0.010188590736901062,-0.009577571309556682,-0.0006302541071538673,0.23012442096300162,0.5114866678778742,0.4154414554155596,0.10343422910542735,1.0,4,42.3,0.9288949535111541,0.8354357670736892,1.0,2.0,2.5997664876585325,0.8665888292195109,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
early_stop_true,early_stop = true,0.00025,True,0.9,4,15,0.04,True,-0.01222152695204706,-0.01043291922895669,-0.009577571309556682,-0.0007851525014723713,0.23012442096300162,0.5114866678778742,0.4201421325754316,0.03901165715675877,1.0,4,22.2,0.8172556892890037,0.7945475881822706,1.0,2.0,2.406350865653545,0.8021169552178483,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
bisections_3,bisections = 3,0.00025,True,0.9,3,15,0.04,False,-0.01222152695204706,-0.01073268671370536,-0.009577571309556682,-0.0010029652622202292,0.23012442096300162,0.5114866678778742,0.4181597791762831,0.007469148570230413,1.0,4,35.8,0.6802850840456045,0.8117908103082935,1.0,2.0,2.3038667046621915,0.7679555682207305,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
learning_rate_002,learning rate = 0.02,0.00025,True,0.9,4,15,0.02,False,-0.01222152695204706,-0.010900433227488342,-0.009577571309556682,-0.0009904275453627449,0.23012442096300162,0.5114866678778742,0.42528348133398974,0.03521242196567639,1.0,4,36.4,0.603637873493103,0.7498262893920292,1.0,2.0,2.1032904522771614,0.7010968174257205,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
