stock_weight,bond_weight,t_bill_weight,objective
0.55,0.2,0.25,0.9146047394575619
0.55,0.25,0.2,0.9181247535719379
0.55,0.3,0.15,0.9216241539750321
0.55,0.35,0.1,0.9250952119834853
0.55,0.4,0.05,0.9285490972981877
0.55,0.45,0.0,0.9319805268617268
0.6,0.0,0.4,0.9205014319127242
0.6,0.05,0.35,0.9241915231829556
0.6,0.1,0.3,0.9278749010473383
0.6,0.15,0.25,0.9315485977427549
0.6,0.2,0.2,0.935187345746819
0.6,0.25,0.15,0.9387965203236979
0.6,0.3,0.1,0.9423765138199177
0.6,0.35,0.05,0.9459270210122104
0.6,0.4,0.0,0.9494463833139185
0.65,0.0,0.35,0.9406493946860962
0.65,0.05,0.3,0.9444501292910459
0.65,0.1,0.25,0.9482338684684858
0.65,0.15,0.2,0.9519887408893916
0.65,0.2,0.15,0.9557196739115756
0.65,0.25,0.1,0.9594162571500277
0.65,0.3,0.05,0.9630676303955287
0.65,0.35,0.0,0.9666698163298109
0.7,0.0,0.3,0.9607626822810478
0.7,0.05,0.25,0.9646726890356324
0.7,0.1,0.2,0.9685572998535826
0.7,0.15,0.15,0.9724079866954857
0.7,0.2,0.1,0.9761973590901891
0.7,0.25,0.05,0.9799407624307089
0.7,0.3,0.0,0.9836591640971599
0.75,0.0,0.25,0.9809173933858079
0.75,0.05,0.2,0.9849037958846529
0.75,0.1,0.15,0.9888485387145011
0.75,0.15,0.1,0.9927638492045849
0.75,0.2,0.05,0.9966410233476184
0.75,0.25,0.0,1.0004673639128523
0.8,0.0,0.2,1.0010736015906705
0.8,0.05,0.15,1.0051021450761264
0.8,0.1,0.1,1.0091008459793096
0.8,0.15,0.05,1.0130574035207882
0.8,0.2,0.0,1.0169744648788035
0.85,0.0,0.15,1.0211439439040846
0.85,0.05,0.1,1.0252071443211852
0.85,0.1,0.05,1.029229764148338
0.85,0.15,0.0,1.0332084109301138
0.9,0.0,0.1,1.040902790518924
0.9,0.05,0.05,1.045022167778123
0.9,0.1,0.0,1.0490998495745485
0.95,0.0,0.05,1.0603404335409086
0.95,0.05,0.0,1.064503495984373
1.0,0.0,0.0,1.0794471480038121
