approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Vanguard,44,0.8051551551579964,0.9609993547804307,1.1634388153056558,1.5357892862401648,2.932053974982786,5.186805229359542,0.0145523254086888,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,45,0.7597217352697295,0.9026635213420253,1.0881603462712055,1.4313434283125315,2.717949235374403,4.77183238076387,0.0133481164644708,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,46,0.7171914860250403,0.8512393369048811,1.0230736075923574,1.3385590543801151,2.5233850073736246,4.397397575084652,0.0122636688997595,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,47,0.6812847878774384,0.806561971638511,0.9674458712762362,1.2623933803170087,2.3558607279904056,4.068196460735107,0.0113158761375511,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,48,0.6450042537198856,0.7610700332567865,0.9111723832399902,1.1870083226281143,2.197972394769871,3.760524669571227,0.0104322303552679,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,49,0.6092080380281348,0.7199092842920931,0.8604106894402798,1.117124141385629,2.0529571458688824,3.4793320310947853,0.0096275281695293,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,50,0.5852791384928692,0.6898632158373343,0.8209598898157261,1.0570608409023285,1.9244552998924074,3.2327180230827257,0.0089248538715446,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,51,0.5645756010632671,0.6602125468669904,0.7826370537533609,1.003192372871081,1.809546912645705,3.015156032863881,0.0083108466220378,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,52,0.537844434981017,0.6311591319233141,0.7473545721837761,0.9526037421956394,1.7044364135094034,2.81461323214975,0.0077417840987661,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,53,0.5183716937329593,0.6050853138979396,0.7141398521596591,0.9045094724779439,1.6071198107692335,2.6274707672486572,0.0072129865781145,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,54,0.502452892578001,0.5825048035730057,0.6828822773414459,0.8593319715567388,1.5132978538527806,2.4499223490956643,0.0067110089577207,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,55,0.4852087935326107,0.5611311045707187,0.6539047363880536,0.8179283646075202,1.4300605109954674,2.2911426344527155,0.0062623719844265,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,56,0.46531282250338474,0.5389602478028578,0.626731801116378,0.780618750002723,1.3527003906640698,2.147343389040193,0.0058556155002927,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,57,0.45384563783505916,0.5212089183227335,0.6030695860919562,0.7470798589611837,1.280630160486494,2.0125416228060407,0.0054821167013118,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,58,0.44519743451844207,0.5081915542692397,0.5835629474071702,0.7181559147849023,1.2167967948941043,1.88814516983136,0.0051484821617498,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,59,0.4368191503631801,0.4955413868186842,0.5659487936285925,0.6906336992536096,1.1539145377824618,1.7724661724018653,0.0048344652921329,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,60,0.42536992787168393,0.4818346668793398,0.5477762614267709,0.6655001060657633,1.097923338092354,1.6690446998582993,0.0045492077099728,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,61,0.4194024226631281,0.47255813223722626,0.5345601857462428,0.6452203237180298,1.0482465700141192,1.5698251760809834,0.0042815898119503,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,62,0.41194045118096717,0.46068087755758014,0.5191598644671332,0.6237994057994029,0.999645879735424,1.4810918720250539,0.0040365429794659,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,63,0.4065942880832141,0.45291107017427534,0.5066720053079956,0.6032369775325125,0.95441041540342,1.398609618877594,0.0038060269698794,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,64,0.39812274412364246,0.44402571639794447,0.4951855150906936,0.586754704327029,0.9155610885187209,1.3247217979013066,0.0035981641466728,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Vanguard,65,0.3921328009122157,0.435400906538544,0.48430446425894214,0.5700951369557998,0.8774885614928992,1.256474335507065,0.0034067011704882,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,20,43.243743596952974,52.542250934809154,64.79470159956028,88.20943899740044,182.79375761171775,363.66758813902777,1.0,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,21,39.903088318579535,48.47798249475332,59.777668498039816,81.37548619066243,168.69488129938858,335.6477843669631,0.922387417726932,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,22,19.165096039982238,23.279188139852092,28.707140810335805,39.0843277504729,81.07744225239207,161.33460800468507,0.442857926282682,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,23,12.266672958497916,14.912941690528196,18.40090694086507,25.06221554017085,51.98968094750079,103.4827032676475,0.2837255092102926,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,24,8.83890655171161,10.750272113163332,13.280350387513646,18.105784428953402,37.532338501467386,74.75084847597002,0.2046268469493182,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,25,6.819923203381801,8.294929477380725,10.239709858166814,13.951894537459914,28.89961425600789,57.609562497042276,0.1573851922966463,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,26,5.4948787842972955,6.674525968668826,8.229266068883325,11.214614805541526,23.21286279053916,46.244041104641255,0.126207841922962,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Fidelity,27,4.545930225949157,5.5194803452525125,6.80127817379377,9.265155848020333,19.159769981803525,38.128302346050226,0.1039389453852819,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
